Building,Latitude,Longitude,Point 1 Lat,Point 1 Long,Point 2 Lat,Point 2 Long,Radius,balch_full,castle,ckb,donlon,helen_newman,mews,nameless_building_blues,north_dining,north_guitar,program_house
Rilsey Hall,42.4530062587624,-76.4819455146789,42.453208118223,-76.4823746681213,42.4529429301701,-76.4814627170562,0.000474862993010404,0,1,0,0,0,0,0,0,0,0
Balch Hall,42.453362480901,-76.4796656370163,42.452840021071,-76.4797514677047,42.4537978607633,-76.4796549081802,0.000481347228601004,1,0,0,0,0,0,0,0,0,0
Bauer Hall,42.4537464069373,-76.4784559607505,42.453599961201,-76.4786759018898,42.453892852331,-76.4783084392547,0.000234954252050386,0,0,1,0,0,0,0,0,0.5,0
Court Hall,42.4543084387459,-76.4779034256935,42.4541085618144,-76.4778980612754,42.4544806094527,-76.4779356122016,0.000186968926044137,0,0,1,0,0,0,0,0,0.6,0
Dickson Hall,42.4545696630808,-76.4791318774223,42.4542451114703,-76.4796012639999,42.4549258763271,-76.478710770607,0.000560450549348316,0,0,1,0,0,0,0,0,0.7,0
Donlon Hall,42.4550010766423,-76.4776834845542,42.454933792154,-76.4781421422958,42.4550248240915,-76.4774796366691,0.000334365263987092,0,0,0,1,0,0,0,0,0.7,0
RPCC,42.4559470097373,-76.4775145053863,42.4557055804727,-76.477645933628,42.4561805224028,-76.4773723483085,0.000274052350842195,0,0,0,0,0,0,0,1,0.5,0
Mews Hall,42.4544073874858,-76.4768278598785,42.4542688592061,-76.4764603972435,42.4545340416448,-76.4772301912307,0.000407094739749474,0,0,0,0,0,1,0,0,0.8,0
Helen Newman Hall,42.4529815210386,-76.4773562550544,42.452946888209,-76.4778739213943,42.4529449091895,-76.4768359065055,0.00051900838767337,0,0,0,0,1,0,0,0,1,0
Appel Commons,42.4535722552124,-76.4761117100715,42.4533862289715,-76.4764147996902,42.4537266169929,-76.4757925271987,0.000354643151205197,0,0,0,0,0,0,0,1,0.8,0
Jameson Hall,42.455654128214,-76.4782145619392,42.455598718042,-76.4783915877342,42.4557233908601,-76.4780402183532,0.000186416035706124,0,0,0,1,0,0,0,0,0.6,0
High Rise 5,42.4561587543097,-76.4767688512802,42.4560894921452,-76.4769646525383,42.4562141639862,-76.4765864610672,0.00019910540974007,0,0,0,0,0,0,1,0,0.8,0
Low Rise 6,42.4562933205818,-76.4760607481002,42.4561805224028,-76.4763987064361,42.4564377811109,-76.4758193492889,0.000316952972421013,0,0,0,0,0,0,1,0,0.7,0
Low Rise 7,42.456115218101,-76.4753660559654,42.4559272204883,-76.4751809835434,42.4563487301392,-76.4755082130432,0.00026680963782338,0,0,0,0,0,0,1,0,0.6,0
HILC,42.455689749013,-76.4759373664856,42.4555512235699,-76.4762189984321,42.4557867166409,-76.475663781166,0.000301547342494703,0,0,0,0,0,0,0,0,0.4,1
JAM,42.4551000242879,-76.4761304855346,42.455012950368,-76.4764443039894,42.4551890770352,-76.4758193492889,0.000324649418825026,0,0,0,0,0,0,0,0,0.7,1
Ujamaa,42.4553968662866,-76.4767071604728,42.4552068875695,-76.4764925837516,42.4556185073948,-76.4768573641777,0.000274998018108125,0,0,0,0,0,0,0,0,0.5,1
Fuertes Observatory,42.452775208042,-76.4745070785284,42.4527722395047,-76.474670022726,42.4527712499923,-76.4743407815694,0.000164621321779982,0,0,0,0,0,0,0,0,1,0
